,Id,AirTemperature
0,0.0,-0.7
1,1.0,-0.6
2,2.0,-0.5
3,3.0,-0.4
4,4.0,-0.3
5,5.0,-0.2
6,6.0,-0.1
7,7.0,0.0
8,8.0,0.1
9,9.0,0.2
10,10.0,0.3
11,11.0,0.4
12,12.0,0.5
13,13.0,0.6
14,14.0,0.7
15,15.0,0.8
16,16.0,0.9
17,17.0,1.0
18,18.0,1.1
19,19.0,1.2
20,20.0,1.3
21,21.0,1.4
22,22.0,1.5
